elapsed_sec,predicted,ground_truth,confidence,latency_ms,matched
71.21,left_hand,tongue,0.7223,5.802,
71.66,left_hand,tongue,0.5284,4.563,
72.12,right_hand,tongue,0.4443,4.623,
72.57,right_hand,tongue,0.4432,5.497,False
73.02,,tongue,0.3943,4.615,
73.48,tongue,tongue,0.4431,5.028,True
73.93,tongue,tongue,0.6118,5.075,True
74.39,tongue,tongue,0.7328,4.475,True
74.84,tongue,tongue,0.9258,4.965,True
75.29,tongue,tongue,0.8732,5.044,True
75.74,tongue,tongue,0.8303,4.588,True
76.19,tongue,tongue,0.7582,5.067,True
76.64,tongue,tongue,0.758,4.584,
77.1,tongue,tongue,0.7601,4.972,
77.55,tongue,tongue,0.857,4.688,
78.0,tongue,tongue,0.8785,4.716,
78.45,tongue,left_hand,0.9377,4.501,
79.01,tongue,left_hand,0.8091,4.558,
79.46,tongue,left_hand,0.6727,2.558,
79.91,tongue,left_hand,0.6464,4.645,
80.36,tongue,left_hand,0.6838,5.418,False
80.81,tongue,left_hand,0.6878,4.676,False
81.26,tongue,left_hand,0.7952,5.29,False
81.71,tongue,left_hand,0.7413,4.365,False
82.16,tongue,left_hand,0.5733,4.517,False
82.62,left_hand,left_hand,0.5516,4.326,True
83.06,left_hand,left_hand,0.7438,4.781,True
83.52,left_hand,left_hand,0.9212,4.634,True
83.97,left_hand,left_hand,0.9703,4.736,True
84.42,left_hand,left_hand,0.8978,5.306,
84.87,left_hand,left_hand,0.7606,4.765,
85.32,left_hand,left_hand,0.6279,5.557,
85.77,left_hand,feet,0.4397,4.359,
86.23,,feet,0.2942,5.7,
86.68,right_hand,feet,0.4863,4.806,
87.14,right_hand,feet,0.6517,5.161,
87.73,right_hand,feet,0.8229,1.308,False
88.18,right_hand,feet,0.9389,3.486,False
88.63,right_hand,feet,0.9905,4.753,False
89.09,right_hand,feet,0.9946,4.501,False
89.55,right_hand,feet,0.9636,3.463,False
90.0,right_hand,feet,0.8107,5.116,False
90.45,right_hand,feet,0.6504,4.676,False
90.9,right_hand,feet,0.4912,5.217,False
91.35,left_hand,feet,0.6265,5.405,False
91.8,left_hand,feet,0.8008,4.534,
92.26,left_hand,feet,0.7547,4.763,
92.71,left_hand,feet,0.6569,4.723,
93.16,left_hand,feet,0.5396,5.355,
93.61,,right_hand,0.3487,4.145,
94.06,,right_hand,0.3262,4.827,
94.51,tongue,right_hand,0.4223,4.539,
94.96,tongue,right_hand,0.5178,5.259,
95.41,tongue,right_hand,0.6503,4.762,
95.86,tongue,right_hand,0.7219,4.855,False
96.42,tongue,right_hand,0.8047,4.816,False
96.87,tongue,right_hand,0.6719,5.11,False
97.32,tongue,right_hand,0.5388,4.825,False
97.78,right_hand,right_hand,0.5265,5.793,True
98.23,right_hand,right_hand,0.6904,4.688,True
98.68,right_hand,right_hand,0.8614,4.46,True
99.13,right_hand,right_hand,0.9047,4.097,True
99.58,right_hand,right_hand,0.9272,5.645,
100.04,right_hand,right_hand,0.9161,4.685,
100.49,right_hand,right_hand,0.8483,5.286,
100.95,right_hand,right_hand,0.6771,5.332,
101.4,right_hand,left_hand,0.4811,3.275,
101.85,,left_hand,0.396,5.211,
102.3,,left_hand,0.3978,4.763,
102.76,tongue,left_hand,0.5091,4.634,
103.21,tongue,left_hand,0.5212,3.251,
103.69,tongue,left_hand,0.5942,3.535,False
104.18,tongue,left_hand,0.6975,4.314,False
104.63,tongue,left_hand,0.5648,4.546,False
105.09,,left_hand,0.3968,6.41,
105.66,left_hand,left_hand,0.5233,4.149,True
106.12,left_hand,left_hand,0.7133,4.452,True
106.58,left_hand,left_hand,0.8284,3.783,True
107.03,left_hand,left_hand,0.7152,4.749,True
107.49,left_hand,left_hand,0.5223,5.917,
107.94,feet,left_hand,0.5287,4.757,
108.4,feet,left_hand,0.5306,4.758,
108.86,feet,left_hand,0.4903,4.741,
109.31,tongue,tongue,0.6347,4.561,
109.77,tongue,tongue,0.803,4.52,
110.23,tongue,tongue,0.994,5.847,
110.68,tongue,tongue,0.9861,6.417,
111.14,tongue,tongue,0.9358,4.927,True
111.59,tongue,tongue,0.921,3.735,True
112.04,tongue,tongue,0.9201,4.455,True
112.5,tongue,tongue,0.915,5.848,True
112.96,tongue,tongue,0.9266,8.555,True
113.41,tongue,tongue,0.9755,4.318,True
113.87,tongue,tongue,0.9834,5.366,True
114.33,tongue,tongue,0.9832,5.398,True
114.91,tongue,tongue,0.9876,2.312,True
115.36,tongue,tongue,0.9874,5.039,
115.83,tongue,tongue,0.9389,4.899,
116.29,tongue,tongue,0.8732,4.48,
116.74,tongue,tongue,0.7176,4.777,
117.2,tongue,tongue,0.7173,3.762,
117.65,tongue,tongue,0.7163,4.668,
118.11,tongue,tongue,0.766,5.361,
118.57,tongue,tongue,0.8202,3.371,
119.03,tongue,tongue,0.8512,5.401,
119.48,tongue,tongue,0.8382,4.601,
119.94,tongue,tongue,0.7108,4.741,True
120.39,tongue,tongue,0.7064,4.964,True
120.84,tongue,tongue,0.6351,4.729,True
121.31,tongue,tongue,0.6741,4.444,True
121.77,tongue,tongue,0.6544,3.308,True
122.23,tongue,tongue,0.7561,5.15,True
122.67,tongue,tongue,0.7428,4.62,True
123.13,tongue,tongue,0.8069,4.043,True
123.58,tongue,tongue,0.8921,5.415,True
124.16,tongue,tongue,0.9173,4.446,
124.61,tongue,tongue,0.9409,5.276,
125.06,tongue,tongue,0.9005,4.873,
